"item_drug_frequency_number","item_drug_frequency_description","item_drug_frequency_descriptione","?column?"
"Q4","ทุก 4 ชั่วโมง","/every 4 hours","1"
"Q6","ทุก 6 ชั่วโมง","/every 6 hours","1"
"WK1","1 ครั้ง/สัปดาห์","/once weekly","1"
"WK2","อาทิตย์ละ1-2 ครั้ง","/twice weekly","1"
"HS","วันละ 1 ครั้ง ก่อนนอน","/Take 1 tablet at Bed-time","1"
"Q46","ทุก 4-6 ชั่วโมง","every 4-6 hours","1"
"Q6PRN","ทุก 6 ช.ม.เมื่อมีอาการ","/every 6 hours When symptoms.","1"
"Q4NV","ทุก 4 ช.ม. เมื่อคลื่นไส้อาเจียน","every  4 hours for nausea , vomiting","1"
"Q8NV","ทุก 8 ช.ม.เมื่อคลื่นไส้ อาเจียน","every  8 hours for nausea , vomiting","1"
"2D1","2 dose ห่างกัน 15 นาที","","1"
"1P1","วันละ 1 ครั้ง หลังอาหาร","/once daily after meal","1"
"1W","วันละ 1 ครั้ง พร้อมอาหาร เช้า","/once daily with meal at breakfast","1"
"23","วันละ 2 ครั้ง เช้า-ก่อนนอน","/morning and at bedtime","1"
"24","วันละ 2 ครั้ง กลางวัน-เย็น","/twice daily at noon and evening","1"
"25","วันละ 2 ครั้ง กลางวัน-ก่อนนอน","/twice daily at noon and at bedtime","1"
"2A1","วันละ 2 ครั้ง ก่อนอาหาร","/twice daily before meal","1"
"2A6","วันละ 2 ครั้ง ก่อนอาหาร เย็น-ก่อนนอน","/twice daily before supper and at  bedtime","1"
"2P1","วันละ 2 ครั้ง หลังอาหาร","/twice daily after meal","1"
"2P3","วันละ 2 ครั้ง หลังอาหาร เช้า-ก่อนนอน","/twice daily after breakfast and at bedtime","1"
"2P5","วันละ 2 ครั้ง หลังอาหาร เที่ยง-ก่อนนอน","/twice daily after lunch and at bedtime","1"
"2P6","วันละ 2 ครั้ง หลังอาหาร เย็น-ก่อนนอน","/twice daily after supper and at bedtime","1"
"2W3","วันละ 2 ครั้ง พร้อมอาหาร เช้า-ก่อนนอน","/twice daily with meal at breakfast and at bedtime","1"
"32","วันละ 3 ครั้ง เช้า-กลางวัน-ก่อนนอน","/3 times daily in morning, noon and at bedtime","1"
"33","วันละ 3 ครั้ง เช้า-เย็น-ก่อนนอน","/3 times daily in morning, evening and at bedtime","1"
"34","วันละ 3 ครั้ง กลางวัน-เย็น-ก่อนนอน","/3 times daily at noon, evening and at bedtime","1"
"3P4","วันละ 3 ครั้ง หลังอาหาร เช้า-บ่าย 3 โมง-ก่อนนอน","/3 times daily after breakfast, 3 pm and at bedtime","1"
"3W4","วันละ 3 ครั้ง พร้อมอาหาร เช้า-บ่าย 3 โมง-ก่อนนอน","/3 times daily with meal at breakfast, 3 pm and at bedtime","1"
"4","วันละ 4 ครั้ง เช้า-กลางวัน-เย็น-ก่อนนอน","/4 times daily in morning, noon , evening and at bedtime","1"
"42","วันละ 4 ครั้ง เวลา 6.00, 12.00, 18.00, 24.00 น.","/4 times daily at 6.00 , 12.00 , 18.00 , 24.00 pm","1"
"4P1","วันละ 4 ครั้ง หลังอาหาร","/4 times daily after each meal ","1"
"4W2","วันละ 4 ครั้ง พร้อมอาหาร เช้า-บ่าย 3 โมง-2 ทุ่ม-ตี1","/4 times daily with meal at breakfast, 3 pm , 8 pm and 1 am","1"
"5","วันละ 5 ครั้ง เวลา 6.00, 10.00, 14.00, 18.00, 22.00 น.","/5 times daily at 6.00 , 10.00 , 14.00 , 18.00 , 22.00 pm","1"
"Q61","ทุก 6 ชั่วโมง เวลา 6.00 , 12.00 , 18.00 , 24.00 น.","/every 4 hours at 6.00 , 12.00 , 18.00 , 24.00 pm","1"
"BID ","วันละ 2 ครั้ง เช้า-เย็น","","1"
"BID HS","วันละ 2 ครั้ง เช้า-ก่อนนอน","","1"
"1A3","วันละ 1 ครั้ง ก่อนอาหาร เย็น","/once daily before supper","1"
"2A4","วันละ 2 ครั้ง ก่อนอาหาร เที่ยง-เย็น","/twice daily before lunch and supper","1"
"1H","วันละ 1 ครั้ง ก่อนนอน","/once daily at bedtime","1"
"1I1","วันละ 1 ครั้ง หลังอาหารทันที","/once dailly after meal immidiately","1"
"1I3","วันละ 1 ครั้ง หลังอาหารทันที เย็น","/once dailly after meals immidiately supper","1"
"01P","วันละ 1 ครั้ง หลังอาหาร เช้า ","/once daily after breakfast","1"
"1P2","วันละ 1 ครั้ง หลังอาหาร เที่ยง","/once daily after lunch","1"
"1P3","วันละ 1 ครั้ง หลังอาหาร เย็น","/once daily after supper","1"
"1W3","วันละ 1 ครั้ง พร้อมอาหาร เย็น","/once daily with meal at supper","1"
"10","วันละ 1 ครั้ง","/once daily","1"
"12","วันละ 1 ครั้ง กลางวัน","/once daily at noon","1"
"13","วันละ 1 ครั้ง เย็น","/once daily in evenig","1"
"ANXIETY","เวลาเครียด","","1"
"14","วันละ 1 ครั้ง ก่อนนอน","/once daily at bedtime","1"
"15","วันละ 1 ครั้ง หลังตื่นนอน","/once daily on arising","1"
"2","วันละ 2 ครั้ง เช้า-เย็น","/twice daily in morning and evening","1"
"20","วันละ 2 ครั้ง","/twice daily","1"
"27","วันละ 2 ครั้ง หลังตื่นนอน และ ก่อนนอน","/twice daily on arising and at bedtime","1"
"02A","วันละ 2 ครั้ง ก่อนอาหาร เช้า-เย็น","/twice daily before breakfast and supper","1"
"2A5","วันละ 2 ครั้ง ก่อนอาหาร เที่ยง-ก่อนนอน","/twice daily before lunch and at bedtime","1"
"2I1","วันละ 2 ครั้ง หลังอาหารทันที","/twice daily after meals immidiately ","1"
"2P2","วันละ 2 ครั้ง หลังอาหาร เช้า-เที่ยง","/twice daily after breakfast and lunch","1"
"02W","วันละ 2 ครั้ง พร้อมอาหาร เช้า-เย็น","/twice daily with breakfast and supper","1"
"2W1","วันละ 2 ครั้ง พร้อมอาหาร เช้า-เย็น","/twice daily with meal","1"
"2W2","วันละ 2 ครั้ง พร้อมอาหาร เช้า-เที่ยง","/twice daily with meal at breakfast and lunch","1"
"2W6","วันละ 2 ครั้ง พร้อมอาหาร เย็น-ก่อนนอน","/twice daily with meal at supper and at bedtime","1"
"3","วันละ 3 ครั้ง เช้า-กลางวัน-เย็น","/3 times daily in morning, noon and evenig","1"
"30","วันละ 3 ครั้ง","/3 times daily","1"
"35","วันละ 3 ครั้ง เวลา 6.00, 14.00, 22.00 น.","/3 times daily at 6.00 , 14.00 , 22.00 pm","1"
"3A1","วันละ 3 ครั้ง ก่อนอาหาร","/3 times daily before meal","1"
"3A4","วันละ 3 ครั้ง ก่อนอาหาร เช้า-บ่าย 3 โมง-ก่อนนอน","/3 times daily before breakfast, 3 pm and at bedtime","1"
"3I1","วันละ 3 ครั้ง หลังอาหารทันที","/3 times daily after meals immidiately","1"
"3P1","วันละ 3 ครั้ง หลังอาหาร","/3 times daily after meal","1"
"03W","วันละ 3 ครั้ง พร้อมอาหาร เช้า-กลางวัน-เย็น","/3 times daily with meal","1"
"3W2","วันละ 3 ครั้ง พร้อมอาหาร เช้า-กลางวัน-ก่อนนอน","/3 times daily with meal at breakfast, lunch and at bedtime","1"
"3W3","วันละ 3 ครั้ง พร้อมอาหาร กลางวัน-เย็น-ก่อนนอน","/3 times daily with meal at lunch, supper and at bedtime","1"
"40","วันละ 4 ครั้ง","/4 times daily","1"
"4P2","วันละ 4 ครั้ง หลังอาหาร เช้า - บ่าย 3 โมง - 2 ทุ่ม - ตี1","/4 times daily after breakfast , 3 pm , 8 pm and 1 am","1"
"4W","วันละ 4 ครั้ง พร้อมอาหาร พร้อมอาหาร เช้า-กลางวัน-เย็น-ก่อนนอน","/4 times daily with meal","1"
"50","วันละ 5 ครั้ง","/5 times daily ","1"
"52","วันละ 5 ครั้ง เวลา 8.00, 12.00, 16.00, 20.00, 24.00 น.","/5 times daily at 8.00 , 12.00 , 16.00 , 20.00 , 24.00 pm","1"
"Q81","ทุก 8 ชั่วโมง เวลา 6.00 , 14.00 , 22.00 น.","/every 8 hours at 6.00 , 14.00 , 22.00 pm","1"
"Q82","ทุก 8 ชั่วโมง เวลา 8.00 , 16.00 , 24.00 น.","/every 8 hours at 8.00 , 16.00 , 24.00 pm","1"
"W","พร้อมอาหาร","/with meal","1"
"1A1","วันละ 1 ครั้ง ก่อนอาหาร","/once daily before meal","1"
"1","วันละ 1 ครั้ง เช้า","/once daily in morning","1"
"01A","วันละ 1 ครั้ง ก่อนอาหาร เช้า","/once daily before breakfast","1"
"3A3","วันละ 3 ครั้ง ก่อนอาหาร กลางวัน-เย็น-ก่อนนอน","/3 times daily before lunch, supper and bedtime","1"
"03I","วันละ 3 ครั้ง หลังอาหารทันที เช้า-กลางวัน-เย็น","/3 times daily after meals immidiately breakfast, noon and supper","1"
"3P3","วันละ 3 ครั้ง หลังอาหาร กลางวัน-เย็น-ก่อนนอน","/3 times daily after lunch, dinner and bedtime","1"
"04A","วันละ 4 ครั้ง ก่อนอาหาร เช้า-กลางวัน-เย็น และ ก่อนนอน","/4 times daily before each meal and bedtime","1"
"04P","วันละ 4 ครั้ง /หลังอาหาร เช้า-กลางวัน-เย็น และ ก่อนนอน","/4 times daily after each meal and at bedtime","1"
"Q24","ทุก 24 ชั่วโมง","/every 24 hours","1"
"vbb","aa","","1"
"2m","รับประทานครั้งละ 2 ซีซี","","1"
"Sentril","อมครั้งละ 1 เม็ด เมื่อมีอาการเจ็บคอ","stand dissolved 1 tablet when symtom sore throat","1"
"3*1acช","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเช้า","","1"
"Nose*hs","พ่นจมูกวันละ 1 ครั้ง ก่อนนอน","","1"
"02I","วันละ 2 ครั้ง หลังอาหารทันที เช้า-เย็น","/twice daily after meals immidiately breakfast and supper","1"
"Unison","บีบสวนทวารหนัก","","1"
"1A2","วันละ 1 ครั้ง ก่อนอาหาร เที่ยง","/once daily before lunch","1"
"1I","วันละ 1 ครั้ง หลังอาหารทันที เช้า","/once dailly after meal immidiately breakfast","1"
"1I2","วันละ 1 ครั้ง หลังอาหารทันที เที่ยง","/once dailly after meals immidiately noon","1"
"1W1","วันละ 1 ครั้ง พร้อมอาหาร เช้า","/once daily with meal","1"
"1W2","วันละ 1 ครั้ง พร้อมอาหาร เที่ยง","/once daily with meal at lunch","1"
"26","วันละ 2 ครั้ง เย็น-ก่อนนอน","/twice daily in evening and at bedtime","1"
"2A2","วันละ 2 ครั้ง ก่อนอาหาร เช้า-เที่ยง","/twice daily before breakfast and lunch","1"
"2A3","วันละ 2 ครั้ง ก่อนอาหาร เช้า-ก่อนนอน","/twice daily before breakfast and bedtime","1"
"2I2","วันละ 2 ครั้ง หลังอาหารทันที เช้า-เที่ยง","/twice daily after meals immidiately breakfast and noon","1"
"2P4","วันละ 2 ครั้ง หลังอาหาร เที่ยง-เย็น","/twice daily after lunch and supper","1"
"2W4","วันละ 2 ครั้ง พร้อมหลังอาหาร เที่ยง-เย็น","/twice daily with meal at lunch and supper","1"
"2W5","วันละ 2 ครั้ง พร้อมอาหาร เที่ยง-ก่อนนอน","/twice daily with meal at  lunch and at bedtime","1"
"03A","วันละ 3 ครั้ง ก่อนอาหาร เช้า-กลางวัน-เย็น","/3 times daily before each meal","1"
"3A2","วันละ 3 ครั้ง ก่อนอาหาร เช้า-กลางวัน-ก่อนนอน","/3 times daily before breakfast, lunch and bedtime","1"
"3P2","วันละ 3 ครั้ง หลังอาหาร เช้า-กลางวัน-ก่อนนอน","/3 times daily after breakfast, lunch and at beddtime","1"
"3W1","วันละ 3 ครั้ง พร้อมอาหาร เช้า-กลางวัน-เย็น","/3 times daily with each meal","1"
"4A1","วันละ 4 ครั้ง ก่อนอาหาร","/4 times daily before meal","1"
"4A2","วันละ 4 ครั้ง ก่อนอาหาร เช้า - บ่าย 3 โมง - 2 ทุ่ม - ตี1","/4 times daily before breakfast, 3 pm , 8 pm and 1 am","1"
"4W1","วันละ 4 ครั้ง พร้อมอาหาร เช้า-กลางวัน-เย็น-ก่อนนอน","/4 times daily with each meal and at bedtime","1"
"Q12","ทุก 12 ชั่วโมง","/every 12 hours","1"
"Q3","ทุก 3 ชั่วโมง ตั้งแต่เริ่มปวดท้องไปจนคลอด","/every 3 hours","1"
"Q46F","ทุก 4-6 ช.ม.เวลาปวดหรือมีไข้","every 4-6 hours for pain / fever","1"
"1*5","รับประทานครั้งละ 1 เม็ด เวลา 6.00 น., 10.00 น., 14.00 น., 18.00 น. และ 22.00 น.","take 1 tablet at 6.00 am,10.00 am ,2.00 pm ,6.00 pm,
and 10.00pm","1"
"2D2","2 ครั้ง ห่างกัน 20 นาที","","1"
"A3","ก่อนอาหารเช้า และ.......ยูนิต ก่อนอาหารเย็น","","1"
"Q20M","ทุก 20 นาที","","1"
"WL","เวลามีอาการระคายเคืองตา","","1"
"HWE","สระผมทุกวัน","","1"
"P1DWD","หลังอาหารเช้า  วันเว้นวัน","","1"
"PC DOD","หลังอาหาร วันเว้นวัน","","1"
"OD AC N","วันละ 1 ครั้ง ก่อนอาหารกลางวัน","","1"
"OD PC E","วันละ 1 ครั้ง หลังอาหารเย็น","","1"
"OD PC N","วันละ 1 ครั้ง หลังอาหารกลางวัน","","1"
"IC","เวลาคัน","","1"
"DIZ","เวลาเวียนศรีษะ","","1"
"VOM","เวลาคลื่นไส้-อาเจียน","","1"
"HA","เวลาปวดศรีษะ","","1"
"INS","เวลานอนไม่หลับ","","1"
"CH PAIN","เวลาเจ็บแน่นหน้าอก","","1"
